Fri Nov  9 21:30:05 2018 1494074085758686 : REQSENT - cmpctblock #1711 is missing 2 tx
Fri Nov  9 21:30:05 2018 1494074085758686 : REQSAVED -  /home/node012/.bitcoin/expLogFiles/1711_getblocktxn.txt file created
Fri Nov  9 21:30:08 2018 1494077078212971 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 21:51:50 2018 1495379565243730 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 21:51:50 2018 1495379565243730 : CMPCTBLKHASH - 0000000000000000001b3a3f132f25ebf2e10c9cd996c4ef77c6395ad1a73eaa
Fri Nov  9 21:51:50 2018 1495379568526237 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1712_cmpctblock.txt file created
Fri Nov  9 21:51:50 2018 1495379568533077 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1712_mempoolFile.txt
Fri Nov  9 21:51:51 2018 1495379632404550 : SUCCESSCMPCT - no missing transactions for cmpctblock #1712
Fri Nov  9 21:51:51 2018 1495379636937988 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 21:53:15 2018 1495464580456059 : CMPCTRECIVED - compact block received from 162.209.4.125:8333
Fri Nov  9 21:53:15 2018 1495464580456059 : CMPCTBLKHASH - 0000000000000000000dd0af101f81f3017ceff658b5f38975a8991f105fe15f
Fri Nov  9 21:53:15 2018 1495464584051481 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1713_cmpctblock.txt file created
Fri Nov  9 21:53:15 2018 1495464584062483 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1713_mempoolFile.txt
Fri Nov  9 21:53:16 2018 1495464642656230 : SUCCESSCMPCT - no missing transactions for cmpctblock #1713
Fri Nov  9 21:53:16 2018 1495464647210291 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 21:56:08 2018 1495636794946524 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 21:56:08 2018 1495636794946524 : CMPCTBLKHASH - 00000000000000000025febd490bdeced17a9758a3042e1bd697e73dae309c0d
Fri Nov  9 21:56:08 2018 1495636801649023 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1714_cmpctblock.txt file created
Fri Nov  9 21:56:08 2018 1495636801657310 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1714_mempoolFile.txt
Fri Nov  9 21:56:08 2018 1495636855054218 : SUCCESSCMPCT - no missing transactions for cmpctblock #1714
Fri Nov  9 21:56:08 2018 1495636857735019 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 22:08:39 2018 1496388386211053 : CMPCTRECIVED - compact block received from 162.209.4.125:8333
Fri Nov  9 22:08:39 2018 1496388386211053 : CMPCTBLKHASH - 0000000000000000002542c35fc3465c43f2bd646eaa184bd01b803378d85765
Fri Nov  9 22:08:39 2018 1496388389086978 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1715_cmpctblock.txt file created
Fri Nov  9 22:08:39 2018 1496388389094676 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1715_mempoolFile.txt
Fri Nov  9 22:08:39 2018 1496388443709489 : SUCCESSCMPCT - no missing transactions for cmpctblock #1715
Fri Nov  9 22:08:39 2018 1496388447131923 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 23:01:47 2018 1499576338186183 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 23:01:47 2018 1499576338186183 : CMPCTBLKHASH - 0000000000000000000c85e448b3eb704d752d54cebee819157a40d61fa33767
Fri Nov  9 23:01:47 2018 1499576341330793 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1716_cmpctblock.txt file created
Fri Nov  9 23:01:47 2018 1499576341337489 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1716_mempoolFile.txt
Fri Nov  9 23:01:47 2018 1499576407299598 : SUCCESSCMPCT - no missing transactions for cmpctblock #1716
Fri Nov  9 23:01:47 2018 1499576411496707 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 23:08:49 2018 1499997637374540 : CMPCTRECIVED - compact block received from 162.209.4.125:8333
Fri Nov  9 23:08:49 2018 1499997637374540 : CMPCTBLKHASH - 00000000000000000003d21ee64235f761fcb71e3dbea2418c8cd4a680e1da9a
Fri Nov  9 23:08:49 2018 1499997640323224 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1717_cmpctblock.txt file created
Fri Nov  9 23:08:49 2018 1499997640330252 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1717_mempoolFile.txt
